execution_idx,application,class,clone_seed_p,LineCoverage_value,LineCoverage_evaluations,BranchCoverage_value,BranchCoverage_evaluations,ExceptionCoverage_value,ExceptionCoverage_evaluations,WeakMutation_value,WeakMutation_evaluations,OutputCoverage_value,OutputCoverage_evaluations,MethodCoverage_value,MethodCoverage_evaluations,CBranch_value,CBranch_evaluations,current_fitness_evaluations
1,2_a4j,net.kencochrane.a4j.beans.ProductInfo,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.958904109589041 ,"[0.958904109589041 ,0]",0.75 ,"[0.6666666666666666 ,0][0.7083333333333334 ,0][0.75 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Reviews,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9393939393939394 ,"[0.9393939393939394 ,0]",0.7777777777777778 ,"[0.6666666666666666 ,0][0.7777777777777778 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.BrowseNode,1.0,1.0 ,"[0.9722222222222222 ,0][1.0 ,0]",1.0 ,"[0.8148148148148148 ,0][0.9259259259259259 ,0][0.9629629629629629 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.8837209302325582 ,"[0.7674418604651163 ,0][0.7906976744186046 ,0][0.8604651162790697 ,0][0.8837209302325582 ,0]",0.8461538461538461 ,"[0.5384615384615384 ,0][0.7307692307692307 ,0][0.7692307692307693 ,0][0.8076923076923077 ,0][0.8461538461538461 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.8148148148148148 ,0][0.9259259259259259 ,0][0.9629629629629629 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ModeList,1.0,1.0 ,"[0.8461538461538461 ,0][0.9230769230769231 ,0][1.0 ,0]",1.0 ,"[0.7272727272727273 ,0][0.8181818181818182 ,0][0.9090909090909091 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.8235294117647058 ,"[0.7058823529411765 ,0][0.7647058823529411 ,0][0.8235294117647058 ,0]",0.875 ,"[0.625 ,0][0.75 ,0][0.875 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.7272727272727273 ,0][0.8181818181818182 ,0][0.9090909090909091 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ThirdPartyProductDetails,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9444444444444444 ,"[0.8611111111111112 ,0][0.8888888888888888 ,0][0.9444444444444444 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,3_gaj,brain.ga.VectorAllelesGenome,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.SellerSearch,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9 ,"[0.9 ,0]",0.7777777777777778 ,"[0.4444444444444444 ,0][0.7777777777777778 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ListingProductDetails,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9666666666666667 ,"[0.8166666666666667 ,0][0.9666666666666667 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,5_templateit,org.templateit.MergeRegion,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,1_tullibee,com.ib.client.Contract,1.0,0.9672131147540983 ,"[0.9180327868852459 ,0][0.9672131147540983 ,0]",0.9361702127659575 ,"[0.8085106382978723 ,0][0.8297872340425532 ,0][0.9148936170212766 ,0][0.9361702127659575 ,0]",1.0 ,"[1.0 ,0]",0.9954954954954955 ,"[0.954954954954955 ,0][0.9594594594594594 ,0][0.972972972972973 ,0][0.9864864864864865 ,0][0.9954954954954955 ,0]",0.75 ,"[0.75 ,0]",1.0 ,"[1.0 ,0]",0.9361702127659575 ,"[0.8085106382978723 ,0][0.8297872340425532 ,0][0.9148936170212766 ,0][0.9361702127659575 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Starring,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.8936170212765957 ,0][0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
