TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.pdfsam.console.business.dto.commands.ConcatParsedCommand,180,225103,113,29,0.821917808219178,0.5428571428571428,0.6991150442477876,0.15625,1,0.22857142857142856
com.ib.client.AnyWrapperMsgGenerator,180,200155,11,8,1.0,1.0,0.4666666666666667,1.0,0,0.9444444444444444
brain.ga.VectorAllelesGenome,180,13647,1,1,1.0,1.0,1.0,1.0,0,1.0
weka.filters.unsupervised.attribute.AddUserFields,180,300561,114,44,0.6197916666666666,0.6153846153846154,0.25925925925925924,0.6926713947990544,5,0.3309692671394799
weka.filters.unsupervised.attribute.PrincipalComponents,180,279270,105,35,0.3258426966292135,0.312,0.27710843373493976,0.37244348762109797,5,0.07278481012658228
weka.filters.unsupervised.attribute.Remove,180,312162,48,19,0.4878048780487805,0.5897435897435898,0.28125,0.44755244755244755,3,0.19444444444444445
weka.filters.unsupervised.attribute.NumericCleaner,180,317147,155,56,0.8241758241758241,0.6907216494845361,0.3644067796610169,0.7382920110192838,1,0.11959287531806616
org.templateit.MergeRegion,180,13693,2,1,1.0,1.0,1.0,1.0,0,1.0
org.pdfsam.console.business.dto.commands.EncryptParsedCommand,180,258014,98,32,0.8620689655172413,0.6774193548387096,0.7272727272727273,0.744,1,0.85
weka.filters.unsupervised.attribute.NumericTransform,180,301358,58,25,0.6161616161616161,0.5964912280701754,0.29545454545454547,0.6778523489932886,3,0.2582781456953642
br.com.jnfe.base.ConsReciNFe,180,18475,24,9,1.0,1.0,1.0,1.0,0,1.0
net.kencochrane.a4j.beans.CustomerReview,180,201751,28,11,1.0,1.0,0.8333333333333334,1.0,0,0.8
net.kencochrane.a4j.A4j,180,210492,54,26,1.0,1.0,0.5,1.0,6,0.03
net.kencochrane.a4j.beans.FeedBack,180,195235,34,13,1.0,1.0,0.8666666666666667,1.0,0,1.0
net.kencochrane.a4j.beans.ListingProductInfo,180,196756,22,7,1.0,1.0,0.7777777777777778,0.9,2,0.8
net.kencochrane.a4j.beans.Directors,180,198812,54,15,1.0,0.9375,0.6,0.9148936170212766,5,0.44680851063829785
net.kencochrane.a4j.beans.Features,180,201134,56,16,1.0,0.9375,0.6,0.9148936170212766,6,0.425531914893617
net.kencochrane.a4j.beans.SellerProfile,180,193204,8,3,1.0,1.0,0.6,1.0,0,1.0
com.ib.client.TickType,180,224828,52,52,1.0,1.0,0.3333333333333333,1.0,0,1.0
weka.filters.unsupervised.attribute.InterquartileRange,180,354394,126,47,0.45161290322580644,0.41353383458646614,0.18867924528301888,0.24881889763779527,8,0.06422018348623854
net.kencochrane.a4j.beans.ProductLine,180,199759,36,10,1.0,1.0,0.6363636363636364,1.0,3,1.0
net.kencochrane.a4j.beans.RecentlyViewed,180,200135,46,12,1.0,0.8947368421052632,0.7272727272727273,0.8846153846153846,2,0.7692307692307693
com.ib.client.Contract,180,264345,136,33,1.0,1.0,0.75,0.9954954954954955,2,0.3653444676409186
weka.filters.unsupervised.attribute.StringToWordVector,180,332490,172,69,0.44756554307116103,0.3548387096774194,0.36879432624113473,0.2540861812778603,6,0.0288028802880288
net.kencochrane.a4j.beans.Reviews,180,203236,44,15,1.0,1.0,0.7777777777777778,0.9393939393939394,2,0.9393939393939394
net.kencochrane.a4j.beans.Starring,180,197723,56,16,1.0,0.9375,0.6,0.9148936170212766,6,0.44680851063829785
com.ib.client.EClientSocket,180,267641,135,61,0.14086471408647142,0.18,0.2571428571428571,0.1888745148771022,11,0.013564431047475508
net.kencochrane.a4j.DAO.Product,180,192530,7,2,0.24193548387096775,0.0967741935483871,0.5,0.5333333333333333,1,0.06666666666666667
net.kencochrane.a4j.beans.ThirdPartyProductInfo,180,197530,28,9,1.0,1.0,0.6666666666666666,0.9166666666666666,2,0.875
net.kencochrane.a4j.beans.Tracks,180,200057,58,16,1.0,0.9375,0.6,0.9148936170212766,6,0.44680851063829785
net.kencochrane.a4j.beans.ThirdPartyProductDetails,180,210201,94,36,1.0,1.0,0.9444444444444444,1.0,0,0.9102040816326531
